player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Trae Young,1,36.016666666666666,4,19,0.211,1,9,0.111,14,15,0.933,0,1,1,9,1,0,5,3,23,-11.0,0.449,0.237,0.474,0.789,0.0,3.2,1.4,35.6,1.3,0.0,16.3,34.1,92.0,118.0,-5.5,34815375-cd40-4317-ad44-8717ba11e81c,ATL,CHO,Away,110,116,0
Dejounte Murray,1,32.733333333333334,3,14,0.214,0,3,0.0,5,6,0.833,0,2,2,6,0,0,1,0,11,-15.0,0.331,0.214,0.214,0.429,0.0,7.0,3.2,25.4,0.0,0.0,5.7,21.6,83.0,120.0,-8.4,34815375-cd40-4317-ad44-8717ba11e81c,ATL,CHO,Away,110,116,0
De'Andre Hunter,1,31.0,4,9,0.444,1,4,0.25,0,1,0.0,2,2,4,1,0,0,0,6,9,-13.0,0.477,0.5,0.444,0.111,6.1,7.4,6.7,4.7,0.0,0.0,0.0,12.2,108.0,119.0,-7.7,34815375-cd40-4317-ad44-8717ba11e81c,ATL,CHO,Away,110,116,0
Saddiq Bey,1,28.83333333333333,6,12,0.5,1,4,0.25,2,2,1.0,3,2,5,0,5,0,2,1,15,-2.0,0.582,0.542,0.333,0.167,9.8,7.9,9.0,0.0,8.0,0.0,13.4,20.7,107.0,102.0,5.3,34815375-cd40-4317-ad44-8717ba11e81c,ATL,CHO,Away,110,116,0
Clint Capela,1,28.633333333333333,6,10,0.6,0,0,0.0,3,4,0.75,6,7,13,0,1,0,2,1,15,-19.0,0.638,0.6,0.0,0.4,19.7,27.9,23.4,0.0,1.6,0.0,14.5,19.3,121.0,111.0,-0.1,34815375-cd40-4317-ad44-8717ba11e81c,ATL,CHO,Away,110,116,0
Jalen Johnson,1,29.416666666666668,9,13,0.692,1,3,0.333,2,4,0.5,0,7,7,2,2,1,0,1,21,8.0,0.711,0.731,0.231,0.308,0.0,27.2,12.3,13.4,3.2,3.3,0.0,20.2,142.0,106.0,12.2,34815375-cd40-4317-ad44-8717ba11e81c,ATL,CHO,Away,110,116,0
Bogdan BogdanoviÄ,1,24.433333333333334,3,9,0.333,1,5,0.2,0,0,0.0,0,4,4,4,3,0,0,1,7,6.0,0.389,0.389,0.556,0.0,0.0,18.7,8.4,23.7,5.7,0.0,0.0,14.8,97.0,104.0,3.1,34815375-cd40-4317-ad44-8717ba11e81c,ATL,CHO,Away,110,116,0
Onyeka Okongwu,1,19.33333333333333,3,5,0.6,0,0,0.0,1,1,1.0,1,3,4,2,0,0,1,5,7,14.0,0.643,0.6,0.0,0.2,4.9,17.7,10.7,15.7,0.0,0.0,15.5,13.4,119.0,116.0,-4.1,34815375-cd40-4317-ad44-8717ba11e81c,ATL,CHO,Away,110,116,0
AJ Griffin,1,9.6,1,2,0.5,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,1,2,2.0,0.5,0.5,0.5,0.0,0.0,23.8,10.8,0.0,0.0,0.0,33.3,12.6,61.0,115.0,-11.4,34815375-cd40-4317-ad44-8717ba11e81c,ATL,CHO,Away,110,116,0
Kobe Bufkin,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34815375-cd40-4317-ad44-8717ba11e81c,ATL,CHO,Away,110,116,0
Bruno Fernando,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34815375-cd40-4317-ad44-8717ba11e81c,ATL,CHO,Away,110,116,0
Trent Forrest,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34815375-cd40-4317-ad44-8717ba11e81c,ATL,CHO,Away,110,116,0
Mouhamed Gueye,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34815375-cd40-4317-ad44-8717ba11e81c,ATL,CHO,Away,110,116,0
